search_name,drilldown_search
Threat - RR - Non-Standard Port Web Traffic - System - Rule,"|from datamodel:Web.Web | search src=""10.*"" dest!=""10.*"" | eval list=""mozilla"" | `ut_parse_extended(url,list)` | where ut_port!=""80"" AND ut_port!=""443"" | rename src as src_ip, dest as dest_ip | lookup dhcpLogs dest_ip as src_ip OUTPUT dest_nt_host as src_dhcp | lookup dhcpLogs dest_ip as src_ip OUTPUT dest_nt_host as src_dhcp | join type=left src_ip [| inputlookup frothly_assets | fields ip dns | rename ip as src_ip, dns as src_dns ] | lookup dnslookup clientip as dest_ip OUTPUT clienthost as dest_dns | eval dest_system=coalesce(dest_dns,dest_ip) | eval src_system=coalesce(src_dhcp,src_dns,src_ip) |search src_system=""REPLACEME"""
Threat - RR - Security Control Disabled - Combined - Rule,"search index=botsv2 sourcetype=""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"" cmdline=""*netsh.exe*"" cmdline=""*off*"" | rename dvc_ip as src_ip | lookup dhcpLogs dest_ip as src_ip OUTPUT dest_nt_host as src_dhcp | join type=left src_ip [| inputlookup frothly_assets | fields ip dns | rename ip as src_ip, dns as src_dns ] | eval src_system=coalesce(src_dhcp,src_dns,src_ip) | eval src_user=mvindex(split(user,""\\""),1) |search src_system=""REPLACEME"" OR src_user=""REPLACEME"""
Threat - RR - Suspicious Developer Utility Command - Combined - Rule,"search index=botsv2 sourcetype=""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"" cmdline=""*csc.exe*/noconfig*"" | rename dvc_ip as src_ip | lookup dhcpLogs dest_ip as src_ip OUTPUT dest_nt_host as src_dhcp | join type=left src_ip [| inputlookup frothly_assets | fields ip dns | rename ip as src_ip, dns as src_dns ] | eval src_system=coalesce(src_dhcp,src_dns,src_ip) | eval src_user=mvindex(split(user,""\\""),1) |search src_system=""REPLACEME"" OR src_user=""REPLACEME"""
Threat - RR - Suspicious PowerShell Command - Combined - Rule,"search index=botsv2 sourcetype=""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"" cmdline=""*powershell*-nop*"" | rename dvc_ip as src_ip | lookup dhcpLogs dest_ip as src_ip OUTPUT dest_nt_host as src_dhcp | join type=left src_ip [| inputlookup frothly_assets | fields ip dns | rename ip as src_ip, dns as src_dns ] | eval src_system=coalesce(src_dhcp,src_dns,src_ip) | eval src_user=mvindex(split(user,""\\""),1) |search src_system=""REPLACEME"" OR src_user=""REPLACEME"""
Threat - RR - Suspicious Scheduled Task - Combined - Rule,"search index=botsv2 sourcetype=""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"" process=""schtasks.exe"" cmdline=""*-w hidden*"" | rename dvc_ip as src_ip | lookup dhcpLogs dest_ip as src_ip OUTPUT dest_nt_host as src_dhcp | join type=left src_ip [| inputlookup frothly_assets | fields ip dns | rename ip as src_ip, dns as src_dns ] | eval src_system=coalesce(src_dhcp,src_dns,src_ip) | eval src_user=mvindex(split(user,""\\""),1) |search src_system=""REPLACEME"" OR src_user=""REPLACEME"""
Threat - RR - Suspicious SSL Certificate - System - Rule,"|from datamodel:Certificates.SSL | search ssl_subject!=""*CN \=*"" ssl_subject!=""*O \=*""[|search index=risk source=""Threat - RR - Suspicious SSL Certificate - System - Rule"" risk_object=""REPLACEME""|fields src_ip,dest_ip|dedup src_ip,dest_ip|rename src_ip as src, dest_ip as dest]"
Threat - RR - System Information Discovery - Combined - Rule,"index=botsv2 sourcetype=""XmlWinEventLog:Microsoft-Windows-Sysmon/Operational"" (process=""net.exe"" OR process=""whoami.exe"") cmdline=""*""|rename dvc_ip as src_ip|lookup dhcpLogs dest_ip as src_ip OUTPUT dest_nt_host as src_system|eval src_system=coalesce(src_system,src_ip)| eval src_user=mvindex(split(user,""\\""),1)|search src_user=""REPLACEME"" OR src_system=""REPLACEME"""
Threat - RR - Threat Intel File Activity - System - Rule,"|from datamodel:""Threat_Intelligence"".""Threat_Activity"" | search threat_collection=""file"" | rename src as src_ip, dest as dest_ip | lookup dnslookup clientip as dest_ip OUTPUT clienthost as dest_dns | eval dest_system=coalesce(dest_dns,dest_ip) | lookup dhcpLogs dest_ip as src_ip OUTPUT dest_nt_host as src_dhcp | join type=left src_ip [| inputlookup frothly_assets | fields ip dns | rename ip as src_ip, dns as src_dns ] | eval src_system=coalesce(src_dhcp,src_dns,src_ip) |search src_system=""REPLACEME"" OR dest_system=""REPLACEME"""
Threat - RR - User Account Changes - Combined - Rule,"|from datamodel:Change_Analysis.All_Changes|search tag=""account"" host=""wrk-btun""|rex max_match=0 ""Account Name:\W+(?<user>(.+))""|search user=""REPLACEME"" OR dest=""REPLACEME"""
Threat - RR - Potential Phish With Attachment - User - Rule,"| from datamodel:Email.All_Email| search (file_name=""*.zip"" OR file_name=""*.doc"" OR file_name=""*.xls"" OR file_name=""*.docm"" OR file_name=""*.xlsm"")|mvexpand recipient|join type=left recipient [|from datamodel:""Identity_Management.All_Identities""|search email=""*froth.ly""|fields email,identity|mvexpand identity|where like(identity,""%frothly\\%"")|eval identity=mvindex(split(identity,""\\""),1)|rename email as recipient, identity as src_user]|search src_user=REPLACEME"
